# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Product,Units_Sold,Unit_Price,Total_Revenue
2025-06-11,Marker,33,15,495
2025-06-11,Highlighter,32,18,576
2025-06-11,Ruler,18,12,216
2025-06-11,Sharpener,24,8,192
2025-06-11,Stapler,7,60,420
2025-06-11,Glue Stick,11,20,220
2025-06-11,Drawing Sheet Pack,7,40,280
2025-06-11,Geometry Box,6,120,720
2025-06-12,Pencil,61,5,305
2025-06-12,Pen,71,10,710
2025-06-12,Notebook,36,25,900
2025-06-12,Eraser,59,4,236
2025-06-12,Marker,26,15,390
2025-06-12,Highlighter,23,18,414
2025-06-12,Ruler,24,12,288
2025-06-12,Sharpener,22,8,176
2025-06-12,Stapler,7,60,420
2025-06-12,Glue Stick,14,20,280
2025-06-12,Drawing Sheet Pack,7,40,280
2025-06-12,Geometry Box,6,120,720
2025-06-13,Pencil,75,5,375
2025-06-13,Pen,74,10,740
2025-06-13,Notebook,34,25,850
2025-06-13,Eraser,38,4,152
2025-06-13,Marker,32,15,480
2025-06-13,Highlighter,25,18,450
2025-06-13,Ruler,22,12,264
2025-06-13,Sharpener,28,8,224
2025-06-13,Stapler,6,60,360
2025-06-13,Glue Stick,12,20,240
2025-06-13,Drawing Sheet Pack,10,40,400
2025-06-13,Geometry Box,5,120,600
2025-06-14,Pencil,61,5,305
2025-06-14,Pen,47,10,470
2025-06-14,Notebook,23,25,575
2025-06-14,Eraser,35,4,140
2025-06-14,Marker,17,15,255
2025-06-14,Highlighter,18,18,324
2025-06-14,Ruler,17,12,204
2025-06-14,Sharpener,15,8,120
2025-06-14,Stapler,5,60,300
2025-06-14,Glue Stick,8,20,160
2025-06-14,Drawing Sheet Pack,7,40,280
2025-06-14,Geometry Box,5,120,600
2025-06-15,Pencil,46,5,230
2025-06-15,Pen,39,10,390
2025-06-15,Notebook,24,25,600
2025-06-15,Eraser,28,4,112
2025-06-15,Marker,20,15,300
2025-06-15,Highlighter,17,18,306
2025-06-15,Ruler,15,12,180
2025-06-15,Sharpener,20,8,160
2025-06-15,Stapler,5,60,300
2025-06-15,Glue Stick,10,20,200
2025-06-15,Drawing Sheet Pack,6,40,240
2025-06-15,Geometry Box,6,120,720
2025-06-16,Pencil,79,5,395
2025-06-16,Pen,58,10,580
2025-06-16,Notebook,35,25,875
2025-06-16,Eraser,51,4,204
2025-06-16,Marker,29,15,435
2025-06-16,Highlighter,27,18,486
2025-06-16,Ruler,23,12,276
2025-06-16,Sharpener,26,8,208
2025-06-16,Stapler,6,60,360
2025-06-16,Glue Stick,9,20,180
2025-06-16,Drawing Sheet Pack,9,40,360
2025-06-16,Geometry Box,7,120,840
2025-06-17,Pencil,74,5,370
2025-06-17,Pen,54,10,540
2025-06-17,Notebook,43,25,1075
2025-06-17,Eraser,51,4,204
2025-06-17,Marker,26,15,390
2025-06-17,Highlighter,25,18,450
2025-06-17,Ruler,22,12,264
2025-06-17,Sharpener,22,8,176
2025-06-17,Stapler,8,60,480
2025-06-17,Glue Stick,13,20,260
2025-06-17,Drawing Sheet Pack,11,40,440
2025-06-17,Geometry Box,7,120,840
2025-06-18,Pencil,57,5,285
2025-06-18,Pen,57,10,570
2025-06-18,Notebook,45,25,1125
2025-06-18,Eraser,52,4,208
2025-06-18,Marker,32,15,480
2025-06-18,Highlighter,38,18,684
2025-06-18,Ruler,23,12,276
2025-06-18,Sharpener,31,8,248
2025-06-18,Stapler,8,60,480
2025-06-18,Glue Stick,13,20,260
2025-06-18,Drawing Sheet Pack,9,40,360
2025-06-18,Geometry Box,7,120,840
2025-06-19,Pencil,64,5,320
2025-06-19,Pen,64,10,640
2025-06-19,Notebook,39,25,975
2025-06-19,Eraser,49,4,196
2025-06-19,Marker,40,15,600
2025-06-19,Highlighter,17,18,306
2025-06-19,Ruler,24,12,288
2025-06-19,Sharpener,20,8,160
2025-06-19,Stapler,7,60,420
2025-06-19,Glue Stick,14,20,280
2025-06-19,Drawing Sheet Pack,10,40,400
2025-06-19,Geometry Box,5,120,600
2025-06-20,Pencil,64,5,320
2025-06-20,Pen,73,10,730
2025-06-20,Notebook,37,25,925
2025-06-20,Eraser,50,4,200
2025-06-20,Marker,30,15,450
2025-06-20,Highlighter,22,18,396
2025-06-20,Ruler,29,12,348
2025-06-20,Sharpener,29,8,232
2025-06-20,Stapler,5,60,300
2025-06-20,Glue Stick,12,20,240
2025-06-20,Drawing Sheet Pack,9,40,360
2025-06-20,Geometry Box,7,120,840
2025-06-21,Pencil,42,5,210
2025-06-21,Pen,43,10,430
2025-06-21,Notebook,30,25,750
2025-06-21,Eraser,36,4,144
2025-06-21,Marker,16,15,240
2025-06-21,Highlighter,15,18,270
2025-06-21,Ruler,13,12,156
2025-06-21,Sharpener,16,8,128
2025-06-21,Stapler,6,60,360
2025-06-21,Glue Stick,8,20,160
2025-06-21,Drawing Sheet Pack,5,40,200
2025-06-21,Geometry Box,5,120,600
2025-06-22,Pencil,63,5,315
2025-06-22,Pen,51,10,510
2025-06-22,Notebook,22,25,550
2025-06-22,Eraser,30,4,120
2025-06-22,Marker,24,15,360
2025-06-22,Highlighter,14,18,252
2025-06-22,Ruler,15,12,180
2025-06-22,Sharpener,20,8,160
2025-06-22,Stapler,4,60,240
2025-06-22,Glue Stick,8,20,160
2025-06-22,Drawing Sheet Pack,3,40,120
2025-06-22,Geometry Box,3,120,360
2025-06-23,Pencil,69,5,345
2025-06-23,Pen,54,10,540
2025-06-23,Notebook,52,25,1300
2025-06-23,Eraser,38,4,152
2025-06-23,Marker,28,15,420
2025-06-23,Highlighter,24,18,432
2025-06-23,Ruler,26,12,312
2025-06-23,Sharpener,21,8,168
2025-06-23,Stapler,8,60,480
2025-06-23,Glue Stick,12,20,240
2025-06-23,Drawing Sheet Pack,8,40,320
2025-06-23,Geometry Box,6,120,720
2025-06-24,Pencil,74,5,370
2025-06-24,Pen,60,10,600
2025-06-24,Notebook,42,25,1050
2025-06-24,Eraser,45,4,180
2025-06-24,Marker,31,15,465
2025-06-24,Highlighter,26,18,468
2025-06-24,Ruler,27,12,324
2025-06-24,Sharpener,21,8,168
2025-06-24,Stapler,10,60,600
2025-06-24,Glue Stick,8,20,160
2025-06-24,Drawing Sheet Pack,9,40,360
2025-06-24,Geometry Box,7,120,840
2025-06-25,Pencil,75,5,375
2025-06-25,Pen,60,10,600
2025-06-25,Notebook,41,25,1025
2025-06-25,Eraser,44,4,176
2025-06-25,Marker,27,15,405
2025-06-25,Highlighter,27,18,486
2025-06-25,Ruler,23,12,276
2025-06-25,Sharpener,24,8,192
2025-06-25,Stapler,8,60,480
2025-06-25,Glue Stick,13,20,260
2025-06-25,Drawing Sheet Pack,11,40,440
2025-06-25,Geometry Box,7,120,840
2025-06-26,Pencil,63,5,315
2025-06-26,Pen,60,10,600
2025-06-26,Notebook,47,25,1175
2025-06-26,Eraser,52,4,208
2025-06-26,Marker,30,15,450
2025-06-26,Highlighter,24,18,432
2025-06-26,Ruler,26,12,312
2025-06-26,Sharpener,24,8,192
2025-06-26,Stapler,8,60,480
2025-06-26,Glue Stick,12,20,240
2025-06-26,Drawing Sheet Pack,9,40,360
2025-06-26,Geometry Box,7,120,840
2025-06-27,Pencil,81,5,405
2025-06-27,Pen,74,10,740
2025-06-27,Notebook,50,25,1250
2025-06-27,Eraser,48,4,192
2025-06-27,Marker,33,15,495
2025-06-27,Highlighter,23,18,414
2025-06-27,Ruler,23,12,276
2025-06-27,Sharpener,26,8,208
2025-06-27,Stapler,7,60,420
2025-06-27,Glue Stick,13,20,260
2025-06-27,Drawing Sheet Pack,8,40,320
2025-06-27,Geometry Box,8,120,960
2025-06-28,Pencil,41,5,205
2025-06-28,Pen,36,10,360
2025-06-28,Notebook,33,25,825
2025-06-28,Eraser,36,4,144
2025-06-28,Marker,22,15,330
2025-06-28,Highlighter,18,18,324
2025-06-28,Ruler,14,12,168
2025-06-28,Sharpener,15,8,120
2025-06-28,Stapler,5,60,300
2025-06-28,Glue Stick,7,20,140
2025-06-28,Drawing Sheet Pack,7,40,280
2025-06-28,Geometry Box,4,120,480
2025-06-29,Pencil,42,5,210
2025-06-29,Pen,42,10,420
2025-06-29,Notebook,30,25,750
2025-06-29,Eraser,29,4,116
2025-06-29,Marker,18,15,270
2025-06-29,Highlighter,17,18,306
2025-06-29,Ruler,15,12,180
2025-06-29,Sharpener,16,8,128
2025-06-29,Stapler,4,60,240
2025-06-29,Glue Stick,8,20,160
2025-06-29,Drawing Sheet Pack,5,40,200
2025-06-29,Geometry Box,3,120,360
2025-06-30,Pencil,64,5,320
2025-06-30,Pen,64,10,640
2025-06-30,Notebook,44,25,1100
2025-06-30,Eraser,59,4,236
2025-06-30,Marker,34,15,510
2025-06-30,Highlighter,23,18,414
2025-06-30,Ruler,22,12,264
2025-06-30,Sharpener,22,8,176
2025-06-30,Stapler,7,60,420
2025-06-30,Glue Stick,11,20,220
2025-06-30,Drawing Sheet Pack,10,40,400
2025-06-30,Geometry Box,5,120,600
2025-07-01,Pencil,101,5,505
2025-07-01,Pen,106,10,1060
2025-07-01,Notebook,54,25,1350
2025-07-01,Eraser,66,4,264
2025-07-01,Marker,43,15,645
2025-07-01,Highlighter,29,18,522
2025-07-01,Ruler,29,12,348
2025-07-01,Sharpener,34,8,272
2025-07-01,Stapler,9,60,540
2025-07-01,Glue Stick,14,20,280
2025-07-01,Drawing Sheet Pack,13,40,520
2025-07-01,Geometry Box,8,120,960
2025-07-02,Pencil,114,5,570
2025-07-02,Pen,98,10,980
2025-07-02,Notebook,72,25,1800
2025-07-02,Eraser,55,4,220
2025-07-02,Marker,44,15,660
2025-07-02,Highlighter,32,18,576
2025-07-02,Ruler,37,12,444
2025-07-02,Sharpener,30,8,240
2025-07-02,Stapler,8,60,480
2025-07-02,Glue Stick,14,20,280
2025-07-02,Drawing Sheet Pack,9,40,360
2025-07-02,Geometry Box,7,120,840
2025-07-03,Pencil,83,5,415
2025-07-03,Pen,88,10,880
2025-07-03,Notebook,57,25,1425
2025-07-03,Eraser,80,4,320
2025-07-03,Marker,45,15,675
2025-07-03,Highlighter,29,18,522
2025-07-03,Ruler,24,12,288
2025-07-03,Sharpener,37,8,296
2025-07-03,Stapler,8,60,480
2025-07-03,Glue Stick,20,20,400
2025-07-03,Drawing Sheet Pack,15,40,600
2025-07-03,Geometry Box,7,120,840
2025-07-04,Pencil,70,5,350
2025-07-04,Pen,103,10,1030
2025-07-04,Notebook,54,25,1350
2025-07-04,Eraser,74,4,296
2025-07-04,Marker,30,15,450
2025-07-04,Highlighter,28,18,504
2025-07-04,Ruler,28,12,336
2025-07-04,Sharpener,35,8,280
2025-07-04,Stapler,9,60,540
2025-07-04,Glue Stick,17,20,340
2025-07-04,Drawing Sheet Pack,10,40,400
2025-07-04,Geometry Box,8,120,960
2025-07-05,Pencil,64,5,320
2025-07-05,Pen,62,10,620
2025-07-05,Notebook,40,25,1000
2025-07-05,Eraser,35,4,140
2025-07-05,Marker,20,15,300
2025-07-05,Highlighter,25,18,450
2025-07-05,Ruler,20,12,240
2025-07-05,Sharpener,20,8,160
2025-07-05,Stapler,8,60,480
2025-07-05,Glue Stick,11,20,220
2025-07-05,Drawing Sheet Pack,10,40,400
2025-07-05,Geometry Box,5,120,600
2025-07-06,Pencil,82,5,410
2025-07-06,Pen,72,10,720
2025-07-06,Notebook,35,25,875
2025-07-06,Eraser,48,4,192
2025-07-06,Marker,29,15,435
2025-07-06,Highlighter,25,18,450
2025-07-06,Ruler,16,12,192
2025-07-06,Sharpener,25,8,200
2025-07-06,Stapler,7,60,420
2025-07-06,Glue Stick,8,20,160
2025-07-06,Drawing Sheet Pack,7,40,280
2025-07-06,Geometry Box,4,120,480
2025-07-07,Pencil,90,5,450
2025-07-07,Pen,95,10,950
2025-07-07,Notebook,67,25,1675
2025-07-07,Eraser,63,4,252
2025-07-07,Marker,49,15,735
2025-07-07,Highlighter,25,18,450
2025-07-07,Ruler,21,12,252
2025-07-07,Sharpener,34,8,272
2025-07-07,Stapler,10,60,600
2025-07-07,Glue Stick,16,20,320
2025-07-07,Drawing Sheet Pack,9,40,360
2025-07-07,Geometry Box,8,120,960
2025-07-08,Pencil,75,5,375
2025-07-08,Pen,94,10,940
2025-07-08,Notebook,58,25,1450
2025-07-08,Eraser,54,4,216
2025-07-08,Marker,36,15,540
2025-07-08,Highlighter,26,18,468
2025-07-08,Ruler,28,12,336
2025-07-08,Sharpener,39,8,312
2025-07-08,Stapler,8,60,480
2025-07-08,Glue Stick,17,20,340
2025-07-08,Drawing Sheet Pack,11,40,440
2025-07-08,Geometry Box,7,120,840
2025-07-09,Pencil,92,5,460
2025-07-09,Pen,72,10,720
2025-07-09,Notebook,50,25,1250
2025-07-09,Eraser,51,4,204
2025-07-09,Marker,50,15,750
2025-07-09,Highlighter,31,18,558
2025-07-09,Ruler,25,12,300
2025-07-09,Sharpener,35,8,280
2025-07-09,Stapler,9,60,540
2025-07-09,Glue Stick,15,20,300
2025-07-09,Drawing Sheet Pack,14,40,560
2025-07-09,Geometry Box,9,120,1080
2025-07-10,Pencil,86,5,430
2025-07-10,Pen,78,10,780
2025-07-10,Notebook,52,25,1300
2025-07-10,Eraser,41,4,164
2025-07-10,Marker,30,15,450
2025-07-10,Highlighter,38,18,684
2025-07-10,Ruler,35,12,420
2025-07-10,Sharpener,33,8,264
2025-07-10,Stapler,10,60,600
2025-07-10,Glue Stick,16,20,320
2025-07-10,Drawing Sheet Pack,18,40,720
2025-07-10,Geometry Box,9,120,1080
2025-07-11,Pencil,92,5,460
2025-07-11,Pen,74,10,740
2025-07-11,Notebook,41,25,1025
2025-07-11,Eraser,64,4,256
2025-07-11,Marker,35,15,525
2025-07-11,Highlighter,25,18,450
2025-07-11,Ruler,25,12,300
2025-07-11,Sharpener,29,8,232
2025-07-11,Stapler,12,60,720
2025-07-11,Glue Stick,18,20,360
2025-07-11,Drawing Sheet Pack,12,40,480
2025-07-11,Geometry Box,10,120,1200
2025-07-12,Pencil,63,5,315
2025-07-12,Pen,50,10,500
2025-07-12,Notebook,45,25,1125
2025-07-12,Eraser,45,4,180
2025-07-12,Marker,22,15,330
2025-07-12,Highlighter,20,18,360
2025-07-12,Ruler,16,12,192
2025-07-12,Sharpener,18,8,144
2025-07-12,Stapler,7,60,420
2025-07-12,Glue Stick,13,20,260
2025-07-12,Drawing Sheet Pack,7,40,280
2025-07-12,Geometry Box,6,120,720
2025-07-13,Pencil,56,5,280
2025-07-13,Pen,53,10,530
2025-07-13,Notebook,33,25,825
2025-07-13,Eraser,36,4,144
2025-07-13,Marker,26,15,390
2025-07-13,Highlighter,18,18,324
2025-07-13,Ruler,19,12,228
2025-07-13,Sharpener,23,8,184
2025-07-13,Stapler,6,60,360
2025-07-13,Glue Stick,9,20,180
2025-07-13,Drawing Sheet Pack,8,40,320
2025-07-13,Geometry Box,6,120,720
2025-07-14,Pencil,101,5,505
2025-07-14,Pen,73,10,730
2025-07-14,Notebook,55,25,1375
2025-07-14,Eraser,69,4,276
2025-07-14,Marker,29,15,435
2025-07-14,Highlighter,34,18,612
2025-07-14,Ruler,25,12,300
2025-07-14,Sharpener,37,8,296
2025-07-14,Stapler,8,60,480
2025-07-14,Glue Stick,11,20,220
2025-07-14,Drawing Sheet Pack,9,40,360
2025-07-14,Geometry Box,8,120,960
2025-07-15,Pencil,97,5,485
2025-07-15,Pen,74,10,740
2025-07-15,Notebook,60,25,1500
2025-07-15,Eraser,47,4,188
2025-07-15,Marker,39,15,585
2025-07-15,Highlighter,26,18,468
2025-07-15,Ruler,25,12,300
2025-07-15,Sharpener,35,8,280
2025-07-15,Stapler,8,60,480
2025-07-15,Glue Stick,15,20,300
2025-07-15,Drawing Sheet Pack,14,40,560
2025-07-15,Geometry Box,7,120,840
2025-07-16,Pencil,105,5,525
2025-07-16,Pen,71,10,710
2025-07-16,Notebook,59,25,1475
2025-07-16,Eraser,76,4,304
2025-07-16,Marker,25,15,375
2025-07-16,Highlighter,27,18,486
2025-07-16,Ruler,31,12,372
2025-07-16,Sharpener,33,8,264
2025-07-16,Stapler,10,60,600
2025-07-16,Glue Stick,14,20,280
2025-07-16,Drawing Sheet Pack,13,40,520
2025-07-16,Geometry Box,8,120,960
2025-07-17,Pencil,110,5,550
2025-07-17,Pen,89,10,890
2025-07-17,Notebook,57,25,1425
2025-07-17,Eraser,59,4,236
2025-07-17,Marker,36,15,540
2025-07-17,Highlighter,29,18,522
2025-07-17,Ruler,30,12,360
2025-07-17,Sharpener,32,8,256
2025-07-17,Stapler,10,60,600
2025-07-17,Glue Stick,20,20,400
2025-07-17,Drawing Sheet Pack,14,40,560
2025-07-17,Geometry Box,7,120,840
2025-07-18,Pencil,110,5,550
2025-07-18,Pen,81,10,810
2025-07-18,Notebook,38,25,950
2025-07-18,Eraser,53,4,212
2025-07-18,Marker,28,15,420
2025-07-18,Highlighter,30,18,540
2025-07-18,Ruler,28,12,336
2025-07-18,Sharpener,43,8,344
2025-07-18,Stapler,10,60,600
2025-07-18,Glue Stick,15,20,300
2025-07-18,Drawing Sheet Pack,14,40,560
2025-07-18,Geometry Box,5,120,600
2025-07-19,Pencil,65,5,325
2025-07-19,Pen,64,10,640
2025-07-19,Notebook,28,25,700
2025-07-19,Eraser,49,4,196
2025-07-19,Marker,27,15,405
2025-07-19,Highlighter,20,18,360
2025-07-19,Ruler,20,12,240
2025-07-19,Sharpener,31,8,248
2025-07-19,Stapler,6,60,360
2025-07-19,Glue Stick,11,20,220
2025-07-19,Drawing Sheet Pack,8,40,320
2025-07-19,Geometry Box,5,120,600
2025-07-20,Pencil,70,5,350
2025-07-20,Pen,50,10,500
2025-07-20,Notebook,37,25,925
2025-07-20,Eraser,39,4,156
2025-07-20,Marker,28,15,420
2025-07-20,Highlighter,22,18,396
2025-07-20,Ruler,22,12,264
2025-07-20,Sharpener,21,8,168
2025-07-20,Stapler,6,60,360
2025-07-20,Glue Stick,9,20,180
2025-07-20,Drawing Sheet Pack,8,40,320
2025-07-20,Geometry Box,5,120,600
2025-07-21,Pencil,104,5,520
2025-07-21,Pen,74,10,740
2025-07-21,Notebook,62,25,1550
2025-07-21,Eraser,75,4,300
2025-07-21,Marker,41,15,615
2025-07-21,Highlighter,40,18,720
2025-07-21,Ruler,25,12,300
2025-07-21,Sharpener,28,8,224
2025-07-21,Stapler,7,60,420
2025-07-21,Glue Stick,19,20,380
2025-07-21,Drawing Sheet Pack,14,40,560
2025-07-21,Geometry Box,8,120,960
2025-07-22,Pencil,98,5,490
2025-07-22,Pen,71,10,710
2025-07-22,Notebook,75,25,1875
2025-07-22,Eraser,64,4,256
2025-07-22,Marker,40,15,600
2025-07-22,Highlighter,35,18,630
2025-07-22,Ruler,30,12,360
2025-07-22,Sharpener,35,8,280
2025-07-22,Stapler,8,60,480
2025-07-22,Glue Stick,17,20,340
2025-07-22,Drawing Sheet Pack,16,40,640
2025-07-22,Geometry Box,9,120,1080
2025-07-23,Pencil,116,5,580
2025-07-23,Pen,79,10,790
2025-07-23,Notebook,46,25,1150
2025-07-23,Eraser,61,4,244
2025-07-23,Marker,39,15,585
2025-07-23,Highlighter,36,18,648
2025-07-23,Ruler,21,12,252
2025-07-23,Sharpener,42,8,336
2025-07-23,Stapler,9,60,540
2025-07-23,Glue Stick,15,20,300
2025-07-23,Drawing Sheet Pack,11,40,440
2025-07-23,Geometry Box,6,120,720
2025-07-24,Pencil,105,5,525
2025-07-24,Pen,87,10,870
2025-07-24,Notebook,44,25,1100
2025-07-24,Eraser,50,4,200
2025-07-24,Marker,37,15,555
2025-07-24,Highlighter,39,18,702
2025-07-24,Ruler,27,12,324
2025-07-24,Sharpener,27,8,216
2025-07-24,Stapler,9,60,540
2025-07-24,Glue Stick,15,20,300
2025-07-24,Drawing Sheet Pack,7,40,280
2025-07-24,Geometry Box,8,120,960
2025-07-25,Pencil,90,5,450
2025-07-25,Pen,95,10,950
2025-07-25,Notebook,70,25,1750
2025-07-25,Eraser,73,4,292
2025-07-25,Marker,37,15,555
2025-07-25,Highlighter,26,18,468
2025-07-25,Ruler,39,12,468
2025-07-25,Sharpener,35,8,280
2025-07-25,Stapler,9,60,540
2025-07-25,Glue Stick,16,20,320
2025-07-25,Drawing Sheet Pack,13,40,520
2025-07-25,Geometry Box,8,120,960
2025-07-26,Pencil,57,5,285
2025-07-26,Pen,53,10,530
2025-07-26,Notebook,36,25,900
2025-07-26,Eraser,38,4,152
2025-07-26,Marker,23,15,345
2025-07-26,Highlighter,21,18,378
2025-07-26,Ruler,18,12,216
2025-07-26,Sharpener,28,8,224
2025-07-26,Stapler,4,60,240
2025-07-26,Glue Stick,12,20,240
2025-07-26,Drawing Sheet Pack,10,40,400
2025-07-26,Geometry Box,4,120,480
2025-07-27,Pencil,59,5,295
2025-07-27,Pen,54,10,540
2025-07-27,Notebook,29,25,725
2025-07-27,Eraser,37,4,148
2025-07-27,Marker,22,15,330
2025-07-27,Highlighter,26,18,468
2025-07-27,Ruler,21,12,252
2025-07-27,Sharpener,27,8,216
2025-07-27,Stapler,7,60,420
2025-07-27,Glue Stick,9,20,180
2025-07-27,Drawing Sheet Pack,8,40,320
2025-07-27,Geometry Box,6,120,720
2025-07-28,Pencil,76,5,380
2025-07-28,Pen,95,10,950
2025-07-28,Notebook,53,25,1325
2025-07-28,Eraser,59,4,236
2025-07-28,Marker,43,15,645
2025-07-28,Highlighter,33,18,594
2025-07-28,Ruler,27,12,324
2025-07-28,Sharpener,40,8,320
2025-07-28,Stapler,8,60,480
2025-07-28,Glue Stick,17,20,340
2025-07-28,Drawing Sheet Pack,14,40,560
2025-07-28,Geometry Box,7,120,840
2025-07-29,Pencil,98,5,490
2025-07-29,Pen,70,10,700
2025-07-29,Notebook,62,25,1550
2025-07-29,Eraser,61,4,244
2025-07-29,Marker,36,15,540
2025-07-29,Highlighter,36,18,648
2025-07-29,Ruler,25,12,300
2025-07-29,Sharpener,27,8,216
2025-07-29,Stapler,7,60,420
2025-07-29,Glue Stick,17,20,340
2025-07-29,Drawing Sheet Pack,10,40,400
2025-07-29,Geometry Box,10,120,1200
2025-07-30,Pencil,64,5,320
2025-07-30,Pen,108,10,1080
2025-07-30,Notebook,56,25,1400
2025-07-30,Eraser,61,4,244
2025-07-30,Marker,36,15,540
2025-07-30,Highlighter,33,18,594
2025-07-30,Ruler,28,12,336
2025-07-30,Sharpener,40,8,320
2025-07-30,Stapler,10,60,600
2025-07-30,Glue Stick,16,20,320
2025-07-30,Drawing Sheet Pack,12,40,480
2025-07-30,Geometry Box,8,120,960
2025-07-31,Pencil,98,5,490
2025-07-31,Pen,64,10,640
2025-07-31,Notebook,44,25,1100
2025-07-31,Eraser,69,4,276
2025-07-31,Marker,40,15,600
2025-07-31,Highlighter,30,18,540
2025-07-31,Ruler,28,12,336
2025-07-31,Sharpener,36,8,288
2025-07-31,Stapler,9,60,540
2025-07-31,Glue Stick,14,20,280
2025-07-31,Drawing Sheet Pack,13,40,520
